PRISM Time Series Data
Location:  Lat: 32.8355   Lon: -117.1529   Elev: 381ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-01-01 - 2022-09-28
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2019-01-19,0.00,50.6,57.0,63.4,53.5,0.23,5.37
2019-01-20,0.00,49.7,61.6,73.4,47.7,1.11,16.71
2019-01-21,0.03,52.2,62.4,72.5,49.7,1.16,16.74
2019-01-22,0.00,45.4,53.0,60.7,43.0,1.42,10.40
2019-01-23,0.00,43.9,55.1,66.3,31.7,1.51,16.85
2019-01-24,0.00,44.1,55.6,67.0,32.6,2.85,18.22
2019-01-25,0.00,45.2,60.0,74.9,35.7,3.34,23.20
2019-01-26,0.00,46.7,60.9,75.1,31.6,4.78,24.77
2019-01-27,0.00,51.1,64.8,78.4,32.3,6.39,28.90
2019-01-28,0.00,49.4,62.4,75.5,32.3,5.28,25.13
2019-01-29,0.00,49.0,61.7,74.4,43.5,1.40,22.06
2019-01-30,0.00,51.2,59.1,67.1,51.8,0.82,10.52
2019-01-31,0.00,51.4,58.0,64.7,51.0,1.02,8.04
2019-02-01,0.66,49.3,55.9,62.4,51.7,0.35,5.62
2019-02-02,0.03,49.8,56.0,62.2,50.9,0.54,6.59
2019-02-03,1.00,50.5,57.4,64.2,51.2,0.55,8.05
2019-02-04,0.30,49.4,55.1,60.8,49.2,0.77,6.98
2019-02-05,0.66,51.4,55.5,59.6,51.1,0.67,4.72
2019-02-06,0.11,47.9,51.9,55.9,43.5,1.11,5.47
2019-02-07,0.00,41.9,48.3,54.8,34.2,2.32,8.68
2019-02-08,0.00,39.8,50.5,61.2,33.1,2.05,12.82
2019-02-09,0.00,40.6,50.7,60.7,38.4,1.54,12.01
2019-02-10,0.03,44.9,51.9,59.0,44.3,1.00,6.57
2019-02-11,0.01,43.3,50.8,58.4,42.4,1.06,7.49
2019-02-12,0.00,41.4,50.9,60.5,35.0,1.52,12.18
2019-02-13,0.00,41.4,56.0,70.6,28.6,3.78,22.63
2019-02-14,1.11,50.7,57.6,64.6,45.3,0.55,15.16
2019-02-15,1.42,50.5,56.8,63.0,55.5,0.46,2.31
2019-02-16,0.10,49.8,55.2,60.6,48.0,0.69,7.83
2019-02-17,0.03,49.1,53.4,57.6,42.9,2.28,7.36
2019-02-18,0.13,48.0,52.3,56.5,41.5,1.69,7.34
2019-02-19,0.00,38.1,46.6,55.2,35.7,0.96,8.49
2019-02-20,0.00,37.3,47.7,58.2,31.4,1.22,12.49
2019-02-21,0.31,39.7,47.2,54.8,40.9,1.25,6.85
2019-02-22,0.22,39.1,46.1,53.1,38.9,1.04,5.38
2019-02-23,0.00,37.8,47.3,56.8,34.8,0.97,9.28
2019-02-24,0.00,40.0,51.2,62.4,33.3,2.25,14.46
2019-02-25,0.00,41.7,52.2,62.7,37.1,2.21,13.26
2019-02-26,0.00,44.2,55.0,65.8,42.0,0.96,13.45
2019-02-27,0.00,46.1,54.2,62.3,48.3,0.46,7.25
2019-02-28,0.00,48.1,55.7,63.4,47.9,0.74,8.67
2019-03-01,0.00,52.2,60.7,69.2,52.3,1.00,11.92
2019-03-02,0.08,54.9,59.9,65.0,53.3,1.38,6.55
2019-03-03,0.26,56.0,58.5,61.0,56.1,0.63,2.84
2019-03-04,0.04,54.7,58.6,62.4,52.7,0.86,5.97
2019-03-05,0.00,48.0,54.4,60.8,48.9,0.91,6.12
2019-03-06,0.02,45.9,57.0,68.2,48.4,0.92,13.17
2019-03-07,0.16,57.1,60.9,64.7,54.7,0.57,8.50
2019-03-08,0.03,51.7,57.0,62.4,49.4,0.93,7.77
2019-03-09,0.04,47.2,52.9,58.7,42.9,1.83,8.04
2019-03-10,0.00,46.4,52.4,58.5,41.9,1.99,7.41
2019-03-11,0.00,45.5,51.9,58.4,42.1,1.54,8.66
2019-03-12,0.48,47.6,53.5,59.5,46.6,0.90,7.77
2019-03-13,0.03,50.2,56.2,62.3,48.3,1.15,7.99
2019-03-14,0.00,48.1,55.4,62.7,45.8,1.67,8.62
2019-03-15,0.00,47.4,58.7,70.0,32.3,2.94,20.16
2019-03-16,0.00,48.6,60.3,72.1,33.4,5.11,21.56
2019-03-17,0.00,48.4,61.6,74.9,36.5,4.24,23.19
2019-03-18,0.00,49.7,62.9,76.1,44.5,3.18,22.86
2019-03-19,0.00,51.5,61.1,70.7,49.9,1.22,14.35
2019-03-20,0.00,50.7,58.1,65.4,51.6,0.52,7.67
2019-03-21,0.08,52.9,58.7,64.5,50.4,1.72,7.72
2019-03-22,0.17,48.6,55.3,61.9,48.8,0.67,8.61
2019-03-23,0.00,48.2,55.6,63.0,48.6,0.89,8.07
2019-03-24,0.00,49.3,56.8,64.2,50.2,1.10,8.76
2019-03-25,0.00,50.1,58.3,66.5,50.7,1.10,9.08
2019-03-26,0.00,49.7,59.7,69.7,51.4,0.78,10.78
2019-03-27,0.00,51.2,60.1,69.0,52.2,0.78,10.86
2019-03-28,0.00,53.6,60.1,66.7,52.8,1.21,9.15
2019-03-29,0.00,51.2,58.9,66.6,50.4,1.32,9.89
2019-03-30,0.00,49.8,58.4,66.9,47.8,1.61,11.14
2019-03-31,0.00,49.1,60.5,72.0,46.1,1.70,16.06
2019-04-01,0.00,53.6,67.3,81.0,38.9,5.25,29.82
2019-04-02,0.00,55.7,68.5,81.2,47.4,1.63,28.77
2019-04-03,0.02,54.7,60.8,66.9,52.1,1.20,9.00
2019-04-04,0.01,54.4,60.0,65.5,50.9,1.41,9.18
2019-04-05,0.04,54.9,60.4,65.8,49.9,1.76,9.54
2019-04-06,0.07,54.5,60.1,65.7,52.4,1.02,8.11
2019-04-07,0.01,53.2,60.7,68.1,52.4,1.15,10.27
2019-04-08,0.00,53.3,64.6,76.0,54.0,1.48,16.53
2019-04-09,0.00,57.1,70.3,83.4,52.7,2.38,27.36
2019-04-10,0.00,52.0,61.4,70.8,52.3,1.50,11.13
2019-04-11,0.00,50.2,61.0,71.8,42.5,2.03,19.52
2019-04-12,0.00,49.1,59.4,69.6,47.9,2.18,15.26
2019-04-13,0.00,51.6,59.9,68.3,48.0,2.29,12.11
2019-04-14,0.00,51.5,63.1,74.7,46.5,2.54,19.18
2019-04-15,0.00,51.5,62.5,73.4,49.0,1.33,16.96
2019-04-16,0.00,52.8,60.5,68.2,50.0,1.67,11.54
2019-04-17,0.00,52.3,58.0,63.7,50.4,1.39,8.86
2019-04-18,0.00,51.8,63.5,75.3,51.1,1.24,18.01
2019-04-19,0.00,53.8,66.0,78.2,52.7,1.15,22.07
2019-04-20,0.00,55.6,63.5,71.5,53.4,1.40,11.81
2019-04-21,0.00,56.9,61.5,66.1,49.1,3.38,9.77
2019-04-22,0.00,52.3,58.6,65.0,47.2,2.87,9.90
2019-04-23,0.00,52.1,60.1,68.0,50.2,1.50,11.02
2019-04-24,0.00,56.4,63.4,70.3,55.0,1.30,10.22
2019-04-25,0.00,57.3,65.5,73.7,55.9,0.90,13.33
2019-04-26,0.00,57.7,65.7,73.8,55.4,1.31,13.71
2019-04-27,0.00,57.6,63.7,69.8,53.5,2.00,10.35
2019-04-28,0.00,58.5,64.0,69.6,53.4,3.04,11.01
2019-04-29,0.01,58.6,64.7,70.9,53.1,2.05,12.30
2019-04-30,0.16,55.6,60.2,64.8,53.6,0.92,7.14
2019-05-01,0.06,56.2,59.1,62.0,52.8,0.77,5.53
2019-05-02,0.00,56.4,61.7,67.1,50.8,2.30,11.13
2019-05-03,0.00,55.4,61.8,68.2,53.5,1.87,9.58
2019-05-04,0.00,56.6,63.3,70.0,54.0,1.67,11.44
2019-05-05,0.00,55.9,63.7,71.5,52.5,1.65,12.92
2019-05-06,0.01,57.0,63.1,69.2,50.8,2.31,12.09
2019-05-07,0.08,57.1,62.9,68.6,52.9,1.78,11.60
2019-05-08,0.00,57.3,61.5,65.7,51.7,2.10,9.27
2019-05-09,0.04,56.6,60.0,63.4,53.6,1.28,6.15
2019-05-10,0.05,57.0,60.3,63.7,54.3,1.00,6.44
2019-05-11,0.00,56.9,61.0,65.2,54.1,1.32,7.31
2019-05-12,0.11,57.6,63.7,69.8,55.8,1.24,10.17
2019-05-13,0.00,59.6,65.2,70.8,56.1,1.98,9.83
2019-05-14,0.00,60.7,65.3,69.9,56.2,2.61,9.56
2019-05-15,0.00,59.9,65.6,71.3,56.3,2.26,11.11
2019-05-16,0.00,56.8,61.4,66.0,54.3,2.00,7.54
2019-05-17,0.13,53.9,59.6,65.3,51.0,0.89,9.55
2019-05-18,0.00,50.5,58.6,66.8,48.6,1.67,10.79
2019-05-19,0.00,50.9,60.0,69.1,51.3,1.56,11.91
2019-05-20,0.36,54.9,59.9,64.8,52.0,0.81,6.77
2019-05-21,0.06,54.1,59.2,64.4,50.2,1.54,9.00
2019-05-22,0.00,55.6,59.6,63.6,50.1,2.04,8.40
2019-05-23,0.11,54.7,58.8,62.9,50.3,1.38,8.38
2019-05-24,0.00,51.0,58.2,65.4,50.3,1.35,9.79
2019-05-25,0.00,50.9,59.6,68.3,50.4,1.32,10.99
2019-05-26,0.02,52.8,59.7,66.6,50.8,1.75,10.35
2019-05-27,0.18,53.4,57.5,61.6,50.8,0.85,7.76
2019-05-28,0.00,50.4,57.2,63.9,47.1,1.49,10.28
2019-05-29,0.00,49.8,58.5,67.3,50.9,1.45,10.05
2019-05-30,0.00,55.0,62.6,70.1,54.5,1.70,10.69
2019-05-31,0.00,59.4,65.3,71.3,55.4,2.48,10.89
2019-06-01,0.00,59.1,63.2,67.2,54.6,2.59,7.88
2019-06-02,0.00,58.8,62.9,66.9,53.1,3.08,8.75
2019-06-03,0.00,58.9,62.7,66.4,53.5,2.64,8.67
2019-06-04,0.00,59.4,63.2,67.0,56.6,1.41,6.91
2019-06-05,0.00,60.0,63.6,67.2,57.4,1.53,6.35
2019-06-06,0.00,60.0,64.9,69.8,57.8,1.61,8.44
2019-06-07,0.00,60.6,64.9,69.3,57.6,1.93,7.67
2019-06-08,0.00,60.3,64.3,68.3,57.0,2.21,7.37
2019-06-09,0.00,58.5,64.7,70.9,55.9,2.04,10.61
2019-06-10,0.00,58.0,68.1,78.2,58.2,0.73,16.54
2019-06-11,0.00,58.9,73.7,88.6,60.0,0.36,29.61
2019-06-12,0.00,60.4,69.1,77.8,61.1,0.50,13.91
2019-06-13,0.00,61.6,68.6,75.5,60.1,1.26,12.06
2019-06-14,0.00,59.9,65.4,70.9,57.0,1.99,9.40
2019-06-15,0.00,60.7,65.2,69.8,54.7,3.57,10.64
2019-06-16,0.00,62.0,66.7,71.3,56.5,3.56,10.78
2019-06-17,0.00,60.6,64.6,68.6,58.4,1.24,7.18
2019-06-18,0.00,60.7,63.2,65.7,56.8,1.38,5.62
2019-06-19,0.00,58.1,63.9,69.6,55.7,2.00,9.43
2019-06-20,0.00,60.6,66.5,72.5,57.4,2.56,10.83
2019-06-21,0.04,60.2,65.0,69.7,57.1,1.04,9.35
2019-06-22,0.01,60.6,64.4,68.2,57.3,1.20,6.94
2019-06-23,0.00,61.3,66.2,71.2,56.8,3.10,11.05
2019-06-24,0.00,62.2,67.5,72.8,59.3,1.61,10.39
2019-06-25,0.00,61.1,65.4,69.7,58.6,1.86,7.53
2019-06-26,0.00,61.1,64.2,67.2,56.4,2.33,7.15
2019-06-27,0.00,60.4,65.4,70.4,55.6,3.05,10.66
2019-06-28,0.00,61.0,66.8,72.6,57.2,2.69,10.91
2019-06-29,0.00,60.3,67.5,74.7,58.4,1.57,12.22
2019-06-30,0.00,61.1,70.3,79.4,60.1,1.63,18.44
2019-07-01,0.00,60.8,72.4,84.1,59.1,0.75,24.76
2019-07-02,0.00,60.6,69.6,78.7,59.0,1.02,16.40
2019-07-03,0.00,61.5,68.3,75.0,58.2,2.09,13.08
2019-07-04,0.00,61.8,66.7,71.5,56.4,3.18,10.51
2019-07-05,0.00,61.2,67.1,72.9,56.8,2.41,11.51
2019-07-06,0.00,62.1,67.7,73.3,57.7,2.86,11.54
2019-07-07,0.00,62.7,67.9,73.1,58.1,3.09,10.64
2019-07-08,0.00,62.3,67.7,73.2,56.5,3.42,11.68
2019-07-09,0.00,62.7,67.3,71.8,56.4,3.84,11.15
2019-07-10,0.00,61.4,68.8,76.2,58.3,1.72,14.54
2019-07-11,0.00,61.9,69.5,77.1,60.4,1.13,14.10
2019-07-12,0.00,63.1,70.3,77.4,60.9,1.56,13.79
2019-07-13,0.00,63.3,70.8,78.4,61.5,1.62,13.69
2019-07-14,0.00,61.9,69.2,76.5,61.3,1.10,11.76
2019-07-15,0.00,62.9,70.2,77.6,61.5,1.28,12.75
2019-07-16,0.00,61.8,71.9,82.0,62.1,0.53,17.55
2019-07-17,0.00,61.9,69.4,76.9,60.8,0.51,12.90
2019-07-18,0.00,62.8,68.0,73.3,59.8,1.89,9.76
2019-07-19,0.00,63.9,70.7,77.5,59.8,2.82,14.04
2019-07-20,0.00,63.3,68.6,74.0,58.1,3.14,11.80
2019-07-21,0.00,64.6,70.2,75.9,59.3,2.99,13.79
2019-07-22,0.00,65.3,71.8,78.3,61.6,2.67,13.65
2019-07-23,0.02,66.3,74.0,81.7,63.4,2.64,16.83
2019-07-24,0.00,68.1,77.3,86.5,63.9,2.78,24.10
2019-07-25,0.00,69.7,79.4,89.2,64.0,3.69,27.99
2019-07-26,0.00,68.5,78.4,88.4,64.2,2.28,28.55
2019-07-27,0.00,68.0,77.4,86.7,64.9,1.82,23.36
2019-07-28,0.00,67.3,75.4,83.4,65.2,1.59,18.95
2019-07-29,0.00,63.2,71.0,78.9,62.7,1.56,13.09
2019-07-30,0.00,64.2,72.0,79.8,62.0,1.87,15.89
2019-07-31,0.00,62.2,68.6,75.0,60.4,1.84,11.16
2019-08-01,0.00,63.0,70.2,77.4,61.8,1.94,12.76
2019-08-02,0.00,65.8,73.1,80.4,63.6,1.67,14.10
2019-08-03,0.00,65.4,73.5,81.6,63.3,1.53,17.65
2019-08-04,0.00,63.5,71.8,80.1,62.9,0.91,14.49
2019-08-05,0.00,63.5,72.3,81.2,63.0,0.82,16.23
2019-08-06,0.00,64.8,73.1,81.3,63.2,1.38,16.10
2019-08-07,0.00,64.6,71.9,79.1,62.7,2.09,12.99
2019-08-08,0.00,64.5,70.7,76.9,61.6,2.31,11.79
2019-08-09,0.00,62.2,70.2,78.2,61.1,1.15,13.73
2019-08-10,0.00,62.4,70.7,79.0,61.4,0.92,15.43
2019-08-11,0.00,63.2,70.6,77.9,60.9,1.83,14.56
2019-08-12,0.00,61.8,69.1,76.4,60.2,1.57,11.85
2019-08-13,0.00,61.7,69.0,76.3,60.2,1.34,12.16
2019-08-14,0.00,62.3,70.6,78.9,62.1,0.95,13.78
2019-08-15,0.00,63.2,72.1,81.0,62.7,0.66,16.77
2019-08-16,0.00,62.7,71.7,80.8,61.8,0.77,16.56
2019-08-17,0.00,62.6,70.1,77.5,59.7,1.60,13.67
2019-08-18,0.00,63.1,68.9,74.7,58.5,3.37,12.13
2019-08-19,0.00,64.2,69.9,75.6,59.2,3.53,12.96
2019-08-20,0.00,65.3,71.8,78.4,61.5,2.31,14.06
2019-08-21,0.00,63.5,72.2,80.8,62.5,1.41,15.51
2019-08-22,0.00,62.6,72.9,83.2,62.9,0.71,19.22
2019-08-23,0.00,63.1,68.8,74.6,60.2,1.01,10.60
2019-08-24,0.00,63.8,70.3,76.8,60.5,2.21,13.12
2019-08-25,0.00,63.7,72.3,80.9,63.6,1.73,15.12
2019-08-26,0.00,67.1,78.5,89.9,61.8,2.23,32.32
2019-08-27,0.00,67.5,77.4,87.4,62.7,1.82,27.05
2019-08-28,0.00,67.2,74.7,82.3,63.6,2.64,17.08
2019-08-29,0.00,65.9,71.8,77.8,62.6,2.24,13.49
2019-08-30,0.00,66.2,73.6,81.1,65.0,1.96,14.15
2019-08-31,0.00,66.7,75.2,83.7,65.8,1.39,17.30
2019-09-01,0.00,68.1,75.7,83.4,65.8,2.05,17.55
2019-09-02,0.00,67.8,74.9,82.0,65.8,1.99,15.30
2019-09-03,0.00,68.3,77.8,87.2,65.0,2.30,26.25
2019-09-04,0.00,71.4,79.1,86.8,66.8,2.68,23.28
2019-09-05,0.02,71.1,79.6,88.1,65.8,2.31,26.91
2019-09-06,0.00,69.9,78.5,87.1,66.6,2.59,22.32
2019-09-07,0.00,68.4,77.9,87.4,65.2,1.79,27.82
2019-09-08,0.00,65.2,75.0,84.8,63.9,1.48,21.77
2019-09-09,0.00,63.0,69.6,76.2,59.4,2.39,13.81
2019-09-10,0.00,64.9,70.0,75.2,59.4,3.43,12.49
2019-09-11,0.00,64.0,69.4,74.7,57.6,3.78,12.82
2019-09-12,0.00,62.5,69.5,76.6,58.9,2.07,16.37
2019-09-13,0.00,62.4,71.0,79.7,63.2,1.13,14.48
2019-09-14,0.00,64.3,74.7,85.1,63.9,0.75,21.27
2019-09-15,0.00,65.1,77.6,90.0,59.2,2.94,34.52
2019-09-16,0.00,65.4,77.6,89.9,61.1,1.63,34.56
2019-09-17,0.00,64.4,72.8,81.2,62.0,1.87,19.06
2019-09-18,0.00,60.6,69.9,79.2,60.3,1.22,16.87
2019-09-19,0.00,60.7,68.6,76.6,59.3,1.54,14.19
2019-09-20,0.00,59.4,67.3,75.2,58.0,2.46,12.36
2019-09-21,0.00,57.9,66.7,75.5,58.3,1.45,14.62
2019-09-22,0.00,60.8,69.8,78.8,60.1,1.77,15.53
2019-09-23,0.00,61.3,72.4,83.5,62.6,1.09,23.41
2019-09-24,0.00,59.4,68.9,78.4,60.1,1.30,15.09
2019-09-25,0.00,59.6,71.2,82.9,61.6,1.16,21.09
2019-09-26,0.00,66.8,71.4,76.0,63.3,2.31,10.70
2019-09-27,0.00,67.4,70.6,73.7,62.9,2.88,9.30
2019-09-28,0.06,64.9,68.7,72.5,61.5,1.69,9.43
2019-09-29,0.02,61.1,66.4,71.8,58.7,1.54,9.73
2019-09-30,0.00,54.9,62.6,70.2,50.9,2.60,12.92
2019-10-01,0.00,53.7,63.1,72.5,50.6,2.43,16.19
2019-10-02,0.00,53.9,63.0,72.0,50.7,2.44,14.28
2019-10-03,0.00,53.8,64.3,74.7,53.3,1.59,16.13
2019-10-04,0.00,54.2,64.9,75.5,53.9,1.43,15.58
2019-10-05,0.00,52.9,64.7,76.6,50.7,1.80,19.92
2019-10-06,0.00,53.0,66.4,79.7,51.2,1.86,23.22
2019-10-07,0.00,54.9,69.8,84.8,51.4,2.27,30.69
2019-10-08,0.00,57.3,70.9,84.4,53.8,0.97,29.69
2019-10-09,0.00,56.3,68.3,80.3,56.5,0.90,22.45
2019-10-10,0.00,61.5,67.0,72.4,55.1,3.39,12.13
2019-10-11,0.00,54.4,64.3,74.3,50.8,1.40,16.03
2019-10-12,0.00,54.0,70.2,86.3,35.6,4.46,39.26
2019-10-13,0.00,55.3,67.1,78.9,48.9,0.96,25.69
2019-10-14,0.00,59.6,66.1,72.5,55.8,1.64,11.30
2019-10-15,0.00,56.7,64.4,72.2,54.0,1.78,14.12
2019-10-16,0.00,55.1,67.0,78.8,56.1,1.36,18.73
2019-10-17,0.00,59.6,71.4,83.3,56.3,0.68,25.91
2019-10-18,0.00,58.9,66.3,73.7,56.8,2.00,13.18
2019-10-19,0.00,56.9,65.8,74.7,54.4,2.04,14.54
2019-10-20,0.00,54.0,66.3,78.6,53.1,1.17,22.55
2019-10-21,0.00,53.7,66.0,78.3,50.8,1.95,21.15
2019-10-22,0.00,60.9,75.3,89.7,36.7,10.25,41.06
2019-10-23,0.00,62.4,78.2,93.9,34.6,12.53,49.25
2019-10-24,0.00,60.7,74.2,87.7,45.5,6.90,37.66
2019-10-25,0.00,60.9,78.4,96.0,27.6,10.23,53.44
2019-10-26,0.00,61.9,75.9,89.9,26.7,13.74,44.72
2019-10-27,0.00,58.5,72.1,85.8,44.6,2.95,36.54
2019-10-28,0.00,54.7,61.4,68.1,53.0,2.09,9.05
2019-10-29,0.00,51.3,63.6,75.9,38.3,2.27,24.44
2019-10-30,0.00,50.6,60.2,69.8,47.3,1.96,13.48
2019-10-31,0.00,46.7,62.4,78.0,11.4,4.48,31.41
2019-11-01,0.00,47.4,62.4,77.4,16.2,7.80,29.62
2019-11-02,0.00,50.2,63.7,77.3,25.3,6.97,28.85
2019-11-03,0.00,52.0,66.5,81.0,26.2,5.87,33.32
2019-11-04,0.00,49.9,64.1,78.4,30.1,4.63,29.69
2019-11-05,0.00,50.0,63.2,76.4,40.8,2.70,25.96
2019-11-06,0.00,50.4,62.1,73.8,50.5,0.61,18.56
2019-11-07,0.00,55.1,62.6,70.0,54.8,1.15,10.40
2019-11-08,0.00,53.9,62.6,71.3,55.4,0.41,10.77
2019-11-09,0.00,52.4,65.8,79.3,47.8,0.70,22.65
2019-11-10,0.00,55.6,71.1,86.5,45.0,1.61,36.31
2019-11-11,0.00,55.6,63.0,70.4,54.8,0.69,10.60
2019-11-12,0.00,53.0,60.7,68.4,53.8,0.57,9.22
2019-11-13,0.00,54.2,64.2,74.1,55.4,0.36,13.66
2019-11-14,0.00,53.0,62.4,71.8,53.8,0.52,13.62
2019-11-15,0.00,54.9,62.9,70.8,54.1,1.21,11.69
2019-11-16,0.00,54.4,62.4,70.3,53.8,1.18,11.05
2019-11-17,0.00,52.2,63.9,75.6,53.6,0.92,16.20
2019-11-18,0.00,55.6,72.3,89.0,33.1,6.35,41.24
2019-11-19,0.00,59.3,75.8,92.2,35.5,8.73,46.56
2019-11-20,0.31,57.3,68.9,80.4,51.7,1.08,25.72
2019-11-21,0.52,53.5,57.4,61.2,50.8,0.92,7.60
2019-11-22,0.02,51.7,58.0,64.3,50.3,1.22,8.59
2019-11-23,0.00,50.1,59.6,69.1,47.1,1.48,13.29
2019-11-24,0.00,50.8,61.3,71.7,42.8,3.11,17.29
2019-11-25,0.00,49.1,61.1,73.1,41.5,2.74,20.52
2019-11-26,0.00,48.3,57.7,67.2,48.1,1.48,10.93
2019-11-27,0.00,49.0,58.0,67.1,39.9,1.85,14.76
2019-11-28,0.31,48.6,56.0,63.4,46.2,0.57,9.41
2019-11-29,1.58,48.0,53.3,58.7,45.8,0.60,5.57
2019-11-30,0.16,45.8,51.9,58.0,43.2,0.93,8.10
2019-12-01,0.00,46.8,54.1,61.4,41.8,1.39,10.48
2019-12-02,0.00,47.3,56.2,65.1,41.9,2.42,13.10
2019-12-03,0.00,49.6,59.8,70.0,47.4,1.80,15.49
2019-12-04,0.21,52.0,59.6,67.1,51.6,1.39,11.15
2019-12-05,0.69,53.5,57.4,61.3,56.5,0.30,2.17
2019-12-06,0.00,51.6,59.3,66.9,52.4,0.38,9.40
2019-12-07,0.02,53.0,61.6,70.3,52.9,1.41,13.77
2019-12-08,0.08,59.9,62.0,64.1,58.5,1.09,4.01
2019-12-09,0.05,53.1,58.0,63.0,56.7,0.68,3.11
2019-12-10,0.00,49.2,56.3,63.5,50.5,0.67,6.94
2019-12-11,0.00,47.7,57.6,67.5,49.3,0.81,11.64
2019-12-12,0.00,47.4,56.4,65.5,49.7,0.90,10.04
2019-12-13,0.00,50.5,59.5,68.4,51.0,0.67,11.89
2019-12-14,0.00,50.4,59.9,69.5,53.5,0.50,10.85
2019-12-15,0.00,53.0,59.0,65.0,53.1,0.97,6.83
2019-12-16,0.00,45.8,53.8,61.8,42.0,1.50,10.80
2019-12-17,0.00,42.3,54.9,67.6,26.2,2.67,18.62
2019-12-18,0.00,42.8,54.5,66.3,20.0,5.21,17.75
2019-12-19,0.00,42.1,52.2,62.3,28.6,3.42,15.12
2019-12-20,0.00,41.6,52.3,63.1,35.8,2.61,13.80
2019-12-21,0.00,45.8,59.6,73.5,32.5,4.43,22.76
2019-12-22,0.00,49.8,60.7,71.6,32.6,6.37,20.95
2019-12-23,0.33,50.6,57.2,63.8,37.8,4.12,13.44
2019-12-24,0.95,51.8,54.8,57.8,50.9,0.49,5.54
2019-12-25,0.01,49.3,54.4,59.5,47.2,0.40,5.95
2019-12-26,0.93,47.3,52.9,58.6,44.7,1.15,7.39
2019-12-27,0.24,42.4,49.4,56.3,42.7,0.80,5.93
2019-12-28,0.00,41.2,50.3,59.4,41.7,0.87,8.40
2019-12-29,0.00,43.1,51.4,59.7,43.2,1.14,7.22
2019-12-30,0.00,44.0,52.4,60.8,42.5,1.50,10.00
2019-12-31,0.00,47.9,53.9,59.8,37.0,2.96,11.09
2020-01-01,0.00,46.7,58.4,70.1,37.7,3.13,18.54
2020-01-02,0.00,46.4,55.7,65.0,45.0,0.85,13.56
2020-01-03,0.00,47.2,57.3,67.4,46.7,0.82,13.50
2020-01-04,0.00,47.7,59.6,71.4,40.8,2.22,18.92
2020-01-05,0.00,45.8,57.0,68.2,46.8,0.49,13.89
2020-01-06,0.00,44.7,55.2,65.8,45.8,0.59,11.90
2020-01-07,0.00,46.9,62.3,77.6,31.7,4.07,26.55
2020-01-08,0.00,45.3,59.6,73.9,36.0,1.95,23.31
2020-01-09,0.00,43.4,52.1,60.9,44.5,1.80,7.13
2020-01-10,0.09,44.8,52.2,59.6,46.8,0.55,7.02
2020-01-11,0.00,43.4,53.8,64.2,42.8,0.82,11.47
2020-01-12,0.00,43.3,52.4,61.6,44.7,1.32,8.65
2020-01-13,0.00,44.9,53.7,62.5,45.0,1.12,9.39
2020-01-14,0.00,46.8,54.6,62.4,45.8,0.98,8.77
2020-01-15,0.00,44.7,53.4,62.0,45.7,0.67,8.21
2020-01-16,0.00,43.1,52.8,62.5,46.2,0.48,8.49
2020-01-17,0.11,48.3,53.7,59.1,45.6,0.76,6.37
2020-01-18,0.04,45.5,53.1,60.6,47.3,0.47,6.84
2020-01-19,0.00,43.6,56.6,69.5,42.0,1.14,16.11
2020-01-20,0.00,45.5,60.2,74.9,43.8,1.38,22.15
2020-01-21,0.19,50.7,56.9,63.2,49.3,0.79,8.51
2020-01-22,0.02,49.8,54.3,58.9,50.8,0.36,4.28
2020-01-23,0.00,47.9,55.6,63.3,49.1,0.72,7.70
2020-01-24,0.00,46.8,58.6,70.3,49.9,0.54,12.53
2020-01-25,0.00,48.1,58.1,68.1,50.2,0.22,12.20
2020-01-26,0.00,48.7,57.0,65.3,51.1,0.21,8.32
2020-01-27,0.00,52.0,56.3,60.6,49.8,0.86,5.45
2020-01-28,0.00,48.5,57.4,66.2,49.5,0.80,9.50
2020-01-29,0.00,47.3,60.0,72.7,46.8,0.61,18.11
2020-01-30,0.00,47.5,58.9,70.3,35.9,0.61,19.14
2020-01-31,0.00,48.1,60.3,72.5,35.9,3.41,22.38
2020-02-01,0.00,47.7,62.7,77.7,34.1,4.39,26.10
2020-02-02,0.00,52.2,66.2,80.1,31.2,7.77,29.53
2020-02-03,0.00,51.8,59.9,68.0,46.7,2.29,15.40
2020-02-04,0.00,43.3,52.5,61.7,26.5,4.20,13.40
2020-02-05,0.00,37.8,49.2,60.5,13.9,4.65,15.52
2020-02-06,0.00,37.4,49.0,60.7,23.4,3.73,15.21
2020-02-07,0.00,42.5,52.9,63.3,37.7,1.57,13.83
2020-02-08,0.00,43.2,54.2,65.2,44.7,0.60,12.77
2020-02-09,0.00,45.6,56.4,67.2,48.6,0.52,11.09
2020-02-10,0.25,49.8,53.1,56.4,47.6,1.08,4.71
2020-02-11,0.09,46.3,52.3,58.3,47.2,0.71,4.60
2020-02-12,0.00,45.4,56.3,67.2,41.4,1.10,17.45
2020-02-13,0.00,44.1,53.9,63.7,43.0,1.13,11.71
